,time,product,high_price,coin_open_interest_close,funding_rate,sell_coin_volume,search_resolution,search_end_time,liquidations_dollar_volume,dollar_open_interest_high,total_trades,dollar_open_interest_close,coin_open_interest_low,buy_liquidations,liquidations_coin_volume,buy_trades,dollar_volume,buy_dollar_volume,sell_liquidations,sell_dollar_volume,low_price,buy_coin_volume,coin_open_interest_high,premium,open_price,dollar_open_interest_low,search_start_time,_id,sell_liquidations_dollar_volume,coin_volume,close_price,buy_liquidations_coin_volume,exchange,sell_liquidations_coin_volume,buy_liquidations_dollar_volume,coin,sell_trades,search_params
0,2024-01-01 00:01:00,ETHUSDT,2285.9,779478.029,0.00027858,282.335,1.0,2024-01-02T00:00:00+00:00,0.0,1781738406.232,1355,1781734863.154,779411.923,0,0.0,890,2065792.836999984,1420669.171999994,0,645123.6650000004,2283.85,621.711,779478.029,1.8385594096,2283.89,1780067714.463,2024-01-01T00:00:00+00:00,65afcfb08f0cfa8b0b0163fd,0.0,904.046,2285.68,0.0,binance-futures,0.0,0.0,ETH,465,
1,2024-01-01 00:02:00,ETHUSDT,2286.37,779300.292,0.00027846,558.508,1.0,2024-01-02T00:00:00+00:00,196.621,1782167386.384,1236,1781691486.679,779300.292,0,0.086,777,3111912.4020000086,1835250.8830000008,1,1276661.5190000006,2285.27,802.824,779478.029,1.7827074197,2285.68,1781434677.037,2024-01-01T00:00:00+00:00,65afcfb18f0cfa8b0b016401,196.621,1361.332,2286.3,0.0,binance-futures,0.086,0.0,ETH,459,
2,2024-01-01 00:03:00,ETHUSDT,2288.44,778893.962,0.0002785,458.546,1.0,2024-01-02T00:00:00+00:00,0.0,1782943479.897,2447,1782054163.242,778893.962,0,0.0,1771,5014040.0730000185,3965154.134999995,0,1048885.9380000017,2286.29,1733.365,779300.292,1.8763316164,2286.3,1781691486.679,2024-01-01T00:00:00+00:00,65afcfb18f0cfa8b0b016405,0.0,2191.911,2288.35,0.0,binance-futures,0.0,0.0,ETH,676,
3,2024-01-01 00:04:00,ETHUSDT,2289.92,778817.135,0.00027848,699.95,1.0,2024-01-02T00:00:00+00:00,124503.344,1783480683.15,2095,1783185969.383,778817.135,2,54.381,1533,4456178.384000003,2853571.6660000025,0,1602606.7180000008,2288.35,1246.462,778945.853,1.9032698382,2288.35,1782054163.242,2024-01-01T00:00:00+00:00,65afcfb28f0cfa8b0b016409,0.0,1946.412,2289.92,54.381,binance-futures,0.0,124503.344,ETH,562,
4,2024-01-01 00:05:00,ETHUSDT,2291.93,779251.57,0.00027901,1371.595,1.0,2024-01-02T00:00:00+00:00,3617.094,1785934375.843,3535,1785428989.7,778817.135,2,1.579,2462,8456362.167000027,5314312.553000025,0,3142049.613999997,2288.77,2320.074,779296.723,1.9014088381,2289.92,1782533294.074,2024-01-01T00:00:00+00:00,65afcfb28f0cfa8b0b01640d,0.0,3691.6690000001,2291.45,1.579,binance-futures,0.0,3617.094,ETH,1073,
5,2024-01-01 00:06:00,ETHUSDT,2293.22,779371.18,0.00027901,839.17,1.0,2024-01-02T00:00:00+00:00,91084.195,1787360550.631,2146,1786552555.914,779251.57,2,39.726,1300,4793776.973999996,2870182.185000001,1,1923594.7889999985,2291.45,1252.182,779536.625,1.8711880847,2291.45,1785428989.7,2024-01-01T00:00:00+00:00,65afcfb38f0cfa8b0b016411,5179.92,2091.352,2292.3,37.466,binance-futures,2.26,85904.275,ETH,846,
6,2024-01-01 00:07:00,ETHUSDT,2294.0,780184.747,0.00027948,1424.779,1.0,2024-01-02T00:00:00+00:00,0.0,1788983088.674,2451,1788277062.294,779371.18,0,0.0,1281,7196983.022999991,3930574.0429999977,0,3266408.980000012,2291.72,1714.433,780184.747,1.7956971693,2292.3,1786318744.56,2024-01-01T00:00:00+00:00,65afcfb38f0cfa8b0b016415,0.0,3139.212,2292.26,0.0,binance-futures,0.0,0.0,ETH,1170,
7,2024-01-01 00:08:00,ETHUSDT,2292.55,780241.493,0.00027955,808.786,1.0,2024-01-02T00:00:00+00:00,0.0,1788477816.761,1147,1788313501.956,780184.747,0,0.0,501,2654156.279000001,800843.573000002,0,1853312.7059999995,2290.88,349.499,780259.623,1.7370967376,2292.26,1787317435.055,2024-01-01T00:00:00+00:00,65afcfb48f0cfa8b0b016419,0.0,1158.285,2292.54,0.0,binance-futures,0.0,0.0,ETH,646,
8,2024-01-01 00:09:00,ETHUSDT,2292.88,780169.764,0.00027898,329.546,1.0,2024-01-02T00:00:00+00:00,0.0,1788683360.065,899,1788453524.88,780166.097,0,0.0,381,1156586.955,401150.3700000002,0,755436.585,2291.84,174.997,780241.493,1.8888544839,2292.54,1788015867.748,2024-01-01T00:00:00+00:00,65afcfb48f0cfa8b0b01641d,0.0,504.543,2292.56,0.0,binance-futures,0.0,0.0,ETH,518,
9,2024-01-01 00:10:00,ETHUSDT,2296.0,780102.787,0.00027898,567.111,1.0,2024-01-02T00:00:00+00:00,853.695,1791469611.523,2620,1790729325.053,780102.787,3,0.372,1968,5339583.621999983,4038211.524000011,0,1301372.0980000012,2292.56,1759.775,780323.209,1.9074443428,2292.56,1788453524.88,2024-01-01T00:00:00+00:00,65afcfb48f0cfa8b0b016421,0.0,2326.886,2295.99,0.372,binance-futures,0.0,853.695,ETH,652,
